year,london,city_mov_average,global,global_mov_average
1750,10.25,,8.72,
1751,9.99,,7.98,
1752,6.54,,5.78,
1753,9.42,,8.39,
1754,9.2,,8.47,
1755,8.95,,8.36,
1756,9.42,,8.85,
1757,9.34,,9.02,
1758,8.85,,6.74,
1759,9.8,9.176,7.99,8.03
1760,9.26,9.077,7.19,7.877
1761,9.69,9.047,8.77,7.956
1762,8.99,9.292,8.61,8.239
1763,8.75,9.225,7.5,8.15
1764,9.14,9.219,8.4,8.143
1765,8.95,9.219,8.25,8.132
1766,9.07,9.184,8.41,8.088
1767,8.98,9.148,8.22,8.008
1768,9.12,9.175,6.78,8.012
1769,9.04,9.099,7.69,7.982
1770,9.03,9.076,7.69,8.032
1771,8.78,8.985,7.85,7.94
1772,9.36,9.022,8.19,7.898
1773,9.33,9.08,8.22,7.97
1774,9.1,9.076,8.77,8.007
1775,10.1,9.191,9.18,8.1
1776,9.21,9.205,8.3,8.089
1777,9.25,9.232,8.26,8.093
1778,9.8,9.3,8.54,8.269
1779,10.76,9.472,8.98,8.398
1780,9.67,9.536,9.43,8.572
1781,10.41,9.699,8.1,8.597
1782,8.44,9.607,7.9,8.568
1783,9.97,9.671,7.68,8.514
1784,8.29,9.59,7.86,8.423
1785,8.54,9.434,7.36,8.241
1786,8.35,9.348,8.26,8.237
1787,9.53,9.376,8.03,8.214
1788,9.39,9.335,8.45,8.205
1789,9.12,9.171,8.33,8.14
1790,9.67,9.171,7.98,7.995
1791,9.59,9.089,8.23,8.008
1792,9.56,9.201,8.09,8.027
1793,9.59,9.163,8.23,8.082
1794,10,9.334,8.53,8.149
1795,9.19,9.399,8.35,8.248
1796,9.5,9.514,8.27,8.249
1797,9.62,9.523,8.51,8.297
1798,9.83,9.567,8.67,8.319
1799,7.94,9.449,8.51,8.337
1800,9.32,9.414,8.48,8.387
1801,9.68,9.423,8.59,8.423
1802,9.31,9.398,8.58,8.472
1803,8.79,9.318,8.5,8.499
1804,9.37,9.255,8.84,8.53
1805,8.56,9.192,8.56,8.551
1806,9.87,9.229,8.43,8.567
1807,9.03,9.17,8.28,8.544
1808,8.91,9.078,7.63,8.44
1809,8.99,9.183,7.08,8.297
1810,8.97,9.148,6.92,8.141
1811,10.1,9.19,6.86,7.968
1812,8.58,9.117,7.05,7.815
1813,9.13,9.151,7.74,7.739
1814,7.93,9.007,7.59,7.614
1815,8.99,9.05,7.24,7.482
1816,7.98,8.861,6.94,7.333
1817,8.95,8.853,6.98,7.203
1818,9.88,8.95,7.83,7.223
1819,9.58,9.009,7.37,7.252
1820,8.61,8.973,7.62,7.322
1821,9.63,8.926,8.09,7.445
1822,10.36,9.104,8.19,7.559
1823,8.8,9.071,7.72,7.557
1824,9.65,9.243,8.55,7.653
1825,9.98,9.342,8.39,7.768
1826,10.12,9.556,8.36,7.91
1827,9.37,9.598,8.81,8.093
